nb_candidats_g;note_a_l_ecrit_g;taux_d_acces_6eme_3eme;part_presents_3eme_ordinaire_total;taux_de_reussite_g
102;9.2;87.0;97.0;76.0
64;12.4;95.0;98.0;91.0
74;13.3;92.0;99.0;100.0
167;10.9;92.0;96.0;86.0
104;8.6;91.0;96.0;70.0
79;10.7;90.0;92.0;80.0
193;11.4;90.0;95.0;84.0
88;12.0;97.0;97.0;97.0
50;11.1;94.0;100.0;84.0
141;10.5;94.0;100.0;91.0
55;11.5;88.0;94.0;98.0
41;12.6;89.0;98.0;95.0
96;12.8;99.0;95.0;100.0
144;11.3;89.0;96.0;85.0
95;12.2;97.0;99.0;97.0
68;8.6;73.0;92.0;79.0
97;11.7;92.0;95.0;97.0
81;12.3;96.0;100.0;95.0
255;11.6;90.0;100.0;99.0
72;11.7;88.0;99.0;89.0
141;11.4;91.0;98.0;96.0
163;12.4;89.0;97.0;94.0
116;11.8;91.0;97.0;100.0
71;12.6;85.0;100.0;99.0
247;13.3;87.0;100.0;99.0
97;12.6;94.0;100.0;99.0
73;10.2;80.0;94.0;79.0
60;12.0;69.0;98.0;88.0
190;14.0;92.0;97.0;100.0
90;12.6;88.0;98.0;100.0
149;12.5;88.0;98.0;100.0
117;11.9;92.0;95.0;98.0
68;12.6;82.0;99.0;100.0
41;10.9;91.0;89.0;80.0
143;10.9;94.0;98.0;87.0
105;13.1;87.0;96.0;87.0
127;9.4;87.0;100.0;75.0
219;11.4;95.0;95.0;91.0
102;13.8;98.0;95.0;100.0
48;11.8;94.0;100.0;83.0
89;11.0;98.0;96.0;87.0
67;10.6;96.0;100.0;88.0
147;12.0;94.0;88.0;89.0
81;11.4;92.0;99.0;98.0
187;12.4;87.0;99.0;91.0
223;10.3;89.0;95.0;83.0
140;13.7;94.0;96.0;99.0
72;11.5;83.0;97.0;86.0
221;12.3;86.0;98.0;84.0
43;11.4;82.0;98.0;98.0
131;12.7;93.0;100.0;95.0
134;11.6;92.0;99.0;90.0
104;10.4;93.0;97.0;80.0
113;13.1;81.0;96.0;96.0
80;10.5;87.0;100.0;89.0
109;12.0;92.0;95.0;91.0
139;9.7;95.0;95.0;84.0
53;11.2;89.0;95.0;87.0
48;12.3;91.0;100.0;100.0
161;12.6;94.0;100.0;95.0
95;10.1;84.0;98.0;78.0
197;10.4;95.0;94.0;86.0
78;8.8;83.0;89.0;78.0
82;7.8;77.0;99.0;73.0
43;10.9;89.0;93.0;91.0
67;13.2;92.0;96.0;99.0
142;12.6;94.0;98.0;100.0
121;13.2;94.0;95.0;97.0
109;9.3;95.0;96.0;81.0
125;9.3;93.0;93.0;85.0
99;10.9;91.0;100.0;82.0
71;8.6;89.0;92.0;83.0
121;11.6;90.0;95.0;93.0
95;8.9;82.0;90.0;74.0
144;11.1;92.0;95.0;88.0
